id,grid,sex,pos_e,sex_e,dyad,overlap,contacts
2,A,2,26,2,3,0.593,4
2,A,2,39,1,2,0.003,1
2,A,2,96,2,3,0.475,3
2,A,2,121,1,2,0.228,1
2,A,2,123,1,2,0.86,56
2,A,2,136,1,2,0.854,4
2,A,2,158,2,3,0.595,5
4,A,2,81,1,2,1.297,4
4,A,2,84,1,2,0.993,2403
4,A,2,89,2,3,0.181,4
4,A,2,115,2,3,0.336,2
4,A,2,121,1,2,0.916,25
4,A,2,132,2,3,0.901,28
4,A,2,137,1,2,1.682,1
4,A,2,141,1,2,1.005,36
24,A,2,700,2,3,0.686,2
26,A,2,109,1,2,0.481,3
26,A,2,136,1,2,0.672,24
26,A,2,158,2,3,0.558,1693
39,A,1,66,1,1,0,1
39,A,1,89,2,2,1.006,7
43,A,1,39,1,1,0.786,14
43,A,1,700,2,2,0.579,53
43,A,1,72,2,2,0.376,2
43,A,1,78,2,2,0.324,2
43,A,1,89,2,2,0.243,9
43,A,1,109,1,1,0.589,2
43,A,1,136,1,1,0,1
62,B,2,6,1,2,0,3
62,B,2,25,1,2,0,10
66,A,1,2,2,2,0.126,6
66,A,1,29,2,2,0.072,1
66,A,1,72,2,2,0,4
66,A,1,78,2,2,0,35
66,A,1,96,2,2,0.467,47
66,A,1,121,1,1,0.223,13
66,A,1,123,1,1,0.722,7
66,A,1,136,1,1,0.103,1
66,A,1,143,1,1,0.219,1
66,A,1,148,1,1,0.523,66
66,A,1,155,2,2,0.769,219
72,A,2,700,2,3,0.311,1
72,A,2,96,2,3,0.592,5
72,A,2,109,1,2,1.169,8
72,A,2,121,1,2,0.567,6
72,A,2,158,2,3,0.184,3
74,A,2,147,2,3,0.093,1
78,A,2,39,1,2,1.372,6
78,A,2,72,2,3,1.122,4985
78,A,2,89,2,3,1.018,17
78,A,2,109,1,2,0.674,16
78,A,2,121,1,2,0.702,9
78,A,2,136,1,2,0.225,1
78,A,2,158,2,3,0,13
81,A,1,5,2,2,0.925,21
81,A,1,84,1,1,1.628,8
81,A,1,117,2,2,1.244,1
81,A,1,121,1,1,0.579,1
81,A,1,134,2,2,0.125,7
81,A,1,137,1,1,2.716,11
81,A,1,141,1,1,1.423,3
81,A,1,143,1,1,0.102,1
84,A,1,29,2,2,0,1
84,A,1,74,2,2,0.478,3
84,A,1,117,2,2,1.114,6
84,A,1,121,1,1,0.535,38
84,A,1,137,1,1,1.851,1
85,A,2,26,2,3,0.604,17
85,A,2,39,1,2,0.003,2
85,A,2,91,1,2,0.578,24
85,A,2,136,1,2,0.733,35
85,A,2,158,2,3,0.677,45
87,A,1,74,2,2,0.346,1
87,A,1,121,1,2,0.468,1
91,A,1,24,2,2,1.16,16
91,A,1,700,2,2,0.809,41
91,A,1,109,1,1,0.885,2
91,A,1,114,2,2,0.584,1
91,A,1,136,1,1,0.369,2
91,A,1,158,2,2,0.372,8
96,A,2,29,2,3,0.125,14
96,A,2,78,2,3,0.478,1
96,A,2,84,1,2,0.171,1
96,A,2,91,1,2,0.007,4
96,A,2,121,1,2,0.944,19
96,A,2,143,1,2,0.36,12
109,A,1,39,1,1,0.901,154
109,A,1,143,1,1,0,4
109,A,1,158,2,2,0.476,1
114,A,2,24,2,3,0.199,2
114,A,2,85,2,3,0.885,93
114,A,2,109,1,2,0.535,8
114,A,2,123,1,2,0.767,16
114,A,2,128,2,3,0.954,104
114,A,2,136,1,2,0.576,2
114,A,2,158,2,3,0.585,1
115,A,2,78,2,3,0.351,2
115,A,2,84,1,2,0.294,18
115,A,2,121,1,2,0.668,1833
115,A,2,141,1,2,0.058,2
115,A,2,143,1,2,0.172,7
117,A,2,5,2,3,0.613,7
117,A,2,74,2,3,0.295,1
117,A,2,121,1,2,0.225,2
117,A,2,141,1,2,0.999,5
117,A,2,152,1,2,0.773,1
121,A,1,74,2,2,0.037,1
121,A,1,137,1,1,1.972,7
121,A,1,139,2,2,0,1
121,A,1,143,1,1,0.475,3
123,A,1,26,2,2,0.672,16
123,A,1,39,1,1,0.233,7
123,A,1,700,2,2,0.226,3
123,A,1,72,2,2,0,1
123,A,1,85,2,2,1.255,50
123,A,1,91,1,1,0.45,2
123,A,1,136,1,1,1.021,11
123,A,1,155,2,2,0.888,3
123,A,1,158,2,2,0.688,11
128,A,2,24,2,3,0.404,8
128,A,2,26,2,3,0.672,2
128,A,2,85,2,3,1.501,53
128,A,2,91,1,2,0.863,2
128,A,2,123,1,2,1.66,14
128,A,2,136,1,2,1.058,1
128,A,2,158,2,3,0.796,5
132,A,2,84,1,2,0.706,108
132,A,2,115,2,3,0.444,216
132,A,2,121,1,2,0.846,301
132,A,2,141,1,2,0.449,2
132,A,2,143,1,2,0.181,2
136,A,1,39,1,1,0.056,5
136,A,1,109,1,1,0.627,10
136,A,1,141,1,1,0,1
136,A,1,158,2,2,0.687,29
137,A,1,5,2,2,1.206,3
137,A,1,152,1,1,3.242,2
139,A,2,5,2,3,0.215,1
139,A,2,81,1,2,0.545,174
139,A,2,84,1,2,0.029,4
139,A,2,117,2,3,0,1
139,A,2,137,1,2,1.02,3
139,A,2,152,1,2,0.367,23
141,A,1,39,1,1,0.013,13
141,A,1,74,2,2,1.055,4
141,A,1,84,1,1,1.123,14
141,A,1,121,1,1,0.454,3
143,A,1,29,2,2,0.125,241
143,A,1,141,1,1,0.091,7
147,A,2,29,2,3,0.125,1
147,A,2,143,1,2,0.295,23
